,price,type,address,url,agent_url,postcode,number_bedrooms,search_date,loc,coordinates,lat,lon
0,345000.0,4 bedroom flat for sale,"7/14 Gentle's Entry, Old Town, Edinburgh, EH8 8PD",http://www.rightmove.co.uk/properties/84401287,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH8,4.0,2021-01-17 16:42:17.951429,"Gentle's Entry, Holyrood, Old Town, City of Edinburgh, Scotland, EH8 8PD, United Kingdom","(55.9510998, -3.1782791)",55.9510998,-3.1782791
1,2650000.0,6 bedroom house for sale,"Melville Street, Edinburgh",http://www.rightmove.co.uk/properties/95675990,http://www.rightmove.co.uk/estate-agents/agent/Strutt-and-Parker/Edinburgh-44318.html,,6.0,2021-01-17 16:42:17.951429,"Melville Street, Haymarket, West End, City of Edinburgh, Scotland, EH3 7HL, United Kingdom","(55.9489867, -3.215472)",55.9489867,-3.215472
2,1950000.0,7 bedroom terraced house for sale,"Carlton Street, Stockbridge, Edinburgh, EH4",http://www.rightmove.co.uk/properties/84943090,http://www.rightmove.co.uk/estate-agents/agent/Savills/Edinburgh-161225.html,EH4,7.0,2021-01-17 16:42:17.951429,"Carlton Street, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1NE, United Kingdom","(55.9575099, -3.211412)",55.9575099,-3.211412
3,1950000.0,7 bedroom town house for sale,"Carlton Street, Stockbridge, Edinburgh, EH4",http://www.rightmove.co.uk/properties/97306265,http://www.rightmove.co.uk/estate-agents/agent/Murray-and-Currie/Edinburgh-Sales-68784.html,EH4,7.0,2021-01-17 16:42:17.951429,"Carlton Street, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1NE, United Kingdom","(55.9575099, -3.211412)",55.9575099,-3.211412
4,1675000.0,5 bedroom terraced house for sale,"Saxe Coburg Place, Stockbridge, Edinburgh EH3",http://www.rightmove.co.uk/properties/77208675,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Edinburgh-41048.html,EH3,5.0,2021-01-17 16:42:17.951429,"Saxe-Coburg Place, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH3 5BR, United Kingdom","(55.9608141, -3.2090728)",55.9608141,-3.2090728
5,1440000.0,7 bedroom terraced house for sale,"Learmonth Terrace, Edinburgh",http://www.rightmove.co.uk/properties/87659686,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Edinburgh-Sales-67544.html,,7.0,2021-01-17 16:42:17.951429,"Learmonth Terrace, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1PQ, United Kingdom","(55.9554179, -3.2168663)",55.9554179,-3.2168663
6,1300000.0,Land for sale,"High Street (Royal Mile), Edinburgh",http://www.rightmove.co.uk/properties/75387732,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Edinburgh-Sales-67544.html,,,2021-01-17 16:42:17.951429,"High Street, Canongate, Old Town, City of Edinburgh, Scotland, EH1 1TB, United Kingdom","(55.9504009, -3.1858426)",55.9504009,-3.1858426
7,1300000.0,4 bedroom terraced house for sale,"Danube Street, Stockbridge, Edinburgh, EH4",http://www.rightmove.co.uk/properties/86915500,http://www.rightmove.co.uk/estate-agents/agent/Savills/Edinburgh-161225.html,EH4,4.0,2021-01-17 16:42:17.951429,"Danube Street, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1NN, United Kingdom","(55.9568688, -3.2121595)",55.9568688,-3.2121595
8,1275000.0,6 bedroom terraced house for sale,"Blenheim Place, Edinburgh, EH7",http://www.rightmove.co.uk/properties/76053930,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Edinburgh-41048.html,EH7,6.0,2021-01-17 16:42:17.951429,"Blenheim Place, Greenside, New Town/Broughton, City of Edinburgh, Scotland, EH7 5JH, United Kingdom","(55.9573741, -3.1824028)",55.9573741,-3.1824028
9,1250000.0,3 bedroom apartment for sale,"West Coates,
Edinburgh,
EH12",http://www.rightmove.co.uk/properties/93609224,http://www.rightmove.co.uk/developer/branch/CALA-Homes/The-Crescent-at-Donaldsons-194423.html,EH12,3.0,2021-01-17 16:42:17.951429,"West Coates, West End, City of Edinburgh, Scotland, EH12 5JH, United Kingdom","(55.9464308, -3.2263032)",55.9464308,-3.2263032
