,price,type,address,url,agent_url,postcode,number_bedrooms,search_date,loc
0,345000.0,4 bedroom flat for sale,"7/14 Gentle's Entry, Old Town, Edinburgh, EH8 8PD",http://www.rightmove.co.uk/properties/84401287,http://www.rightmove.co.uk/estate-agents/agent/Warners-Solicitors/Edinburgh-91640.html,EH8,4.0,2021-01-17 16:42:17.951429,"Gentle's Entry, Holyrood, Old Town, City of Edinburgh, Scotland, EH8 8PD, United Kingdom"
1,2650000.0,Property for sale,"Chambers Street, Edinburgh, Midlothian, EH1",http://www.rightmove.co.uk/properties/69730413,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Edinburgh-41048.html,EH1,,2021-01-17 16:42:17.951429,
2,2650000.0,6 bedroom house for sale,"Melville Street, Edinburgh",http://www.rightmove.co.uk/properties/95675990,http://www.rightmove.co.uk/estate-agents/agent/Strutt-and-Parker/Edinburgh-44318.html,,6.0,2021-01-17 16:42:17.951429,"Melville Street, Haymarket, West End, City of Edinburgh, Scotland, EH3 7HL, United Kingdom"
3,1950000.0,7 bedroom terraced house for sale,"Carlton Street, Stockbridge, Edinburgh, EH4",http://www.rightmove.co.uk/properties/84943090,http://www.rightmove.co.uk/estate-agents/agent/Savills/Edinburgh-161225.html,EH4,7.0,2021-01-17 16:42:17.951429,"Carlton Street, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1NE, United Kingdom"
4,1950000.0,7 bedroom town house for sale,"Carlton Street, Stockbridge, Edinburgh, EH4",http://www.rightmove.co.uk/properties/97306265,http://www.rightmove.co.uk/estate-agents/agent/Murray-and-Currie/Edinburgh-Sales-68784.html,EH4,7.0,2021-01-17 16:42:17.951429,"Carlton Street, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1NE, United Kingdom"
5,1675000.0,5 bedroom terraced house for sale,"Saxe Coburg Place, Stockbridge, Edinburgh EH3",http://www.rightmove.co.uk/properties/77208675,http://www.rightmove.co.uk/estate-agents/agent/Knight-Frank/Edinburgh-41048.html,EH3,5.0,2021-01-17 16:42:17.951429,"Saxe-Coburg Place, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH3 5BR, United Kingdom"
6,1500000.0,5 bedroom apartment for sale,"11 GF Belgrave Crescent, West End, Edinburgh, EH4",http://www.rightmove.co.uk/properties/88198870,http://www.rightmove.co.uk/estate-agents/agent/Savills/Edinburgh-161225.html,EH4,5.0,2021-01-17 16:42:17.951429,
7,1440000.0,7 bedroom terraced house for sale,"Learmonth Terrace, Edinburgh",http://www.rightmove.co.uk/properties/87659686,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Edinburgh-Sales-67544.html,,7.0,2021-01-17 16:42:17.951429,"Learmonth Terrace, Stockbridge, Stockbridge/Inverleith, City of Edinburgh, Scotland, EH4 1PQ, United Kingdom"
8,1400000.0,5 bedroom terraced house for sale,"19 Danube Street, Stockbridge, Edinburgh, EH4",http://www.rightmove.co.uk/properties/88135393,http://www.rightmove.co.uk/estate-agents/agent/Savills/Edinburgh-161225.html,EH4,5.0,2021-01-17 16:42:17.951429,
9,1300000.0,Land for sale,"High Street (Royal Mile), Edinburgh",http://www.rightmove.co.uk/properties/75387732,http://www.rightmove.co.uk/estate-agents/agent/Rettie-and-Co/Edinburgh-Sales-67544.html,,,2021-01-17 16:42:17.951429,"High Street, Canongate, Old Town, City of Edinburgh, Scotland, EH1 1TB, United Kingdom"
